,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
24,U001,0200769623,WAL-MAR co,2020-05-17 09:31:08.398437500,2020.0,1930852834.0,2020-05-03 00:00:00.000000000,2020-05-18 00:00:00.000000000,2020-05-03 00:00:00.000000000,NAH4,24148.62,
25,U001,200769623,WAL-MAR associates,2020-04-22 09:31:08.398437500,2020.0,1930756697.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAH4,1898.9,
26,U013,0100052167,FRESH  trust,2020-03-13 21:00:31.000000000,2020.0,1991840803.0,2020-03-10 00:00:00.000000000,2020-03-10 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAVC,18871.4,0-15
27,U001,0200769623,WAL-MAR co,2020-03-27 09:31:08.398437500,2020.0,1930651701.0,2020-03-13 00:00:00.000000000,2020-03-28 00:00:00.000000000,2020-03-13 00:00:00.000000000,NAH4,42762.05,
28,U001,0200769623,WAL-MAR co,2020-05-15 08:30:04.312500000,2020.0,1930849223.0,2020-05-01 00:00:00.000000000,2020-05-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAH4,16635.84,
29,U001,0200752302,KROGER us,2020-03-19 22:57:44.562500000,2020.0,1930617544.0,2020-03-07 00:00:00.000000000,2020-03-22 00:00:00.000000000,2020-03-07 00:00:00.000000000,NAA8,88961.08,
30,U001,0200705742,DOT corporation,2020-05-08 00:06:58.156250000,2020.0,1930823705.0,2020-04-24 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-04-24 00:00:00.000000000,NAD1,25963.79,
31,U001,0200792293,UNIFIE in,2020-03-30 04:41:52.726562500,2020.0,1930652384.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAA8,172049.59,0-15
32,U001,0200797452,US  corp,2020-03-19 04:41:52.726562500,2020.0,1930605251.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,2972.96,0-15
33,U001,0200769623,WAL-MAR corp,2020-04-12 09:31:08.398437500,2020.0,1930716699.0,2020-03-29 00:00:00.000000000,2020-04-13 00:00:00.000000000,2020-03-29 00:00:00.000000000,NAH4,776.58,
34,U001,0200769623,WAL-MAR co,2020-05-19 09:31:08.398437500,2020.0,1930855670.0,2020-05-05 00:00:00.000000000,2020-05-20 00:00:00.000000000,2020-05-05 00:00:00.000000000,NAH4,19751.0,
35,U001,0200707822,PUBLI ,2020-04-28 06:13:14.906250000,2020.0,1930791344.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,123000.1,
36,U001,0200748108,KROGER trust,2020-04-24 22:57:44.562500000,2020.0,1930775179.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAA8,27577.25,
37,U001,0200752302,KROGER in,2020-04-14 22:57:44.562500000,2020.0,1930731921.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,137738.81,
38,U001,0200230690,DECA us,2020-04-01 13:41:13.937500000,2020.0,1930665683.0,2020-03-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,1431.62,
39,U001,0100015557,BI foundation,2020-05-16 23:13:08.000000000,2020.0,1930863599.0,2020-05-06 00:00:00.000000000,2020-05-21 00:00:00.000000000,2020-05-06 00:00:00.000000000,NAA8,18552.48,
40,U001,0200759878,SA corporation,2020-04-08 13:48:38.281250000,2020.0,1930715428.0,2020-03-28 00:00:00.000000000,2020-04-12 00:00:00.000000000,2020-03-28 00:00:00.000000000,NAH4,22363.82,
41,U001,0200769623,WAL-MAR associates,2020-05-10 09:31:08.398437500,2020.0,1930827182.0,2020-04-26 00:00:00.000000000,2020-05-11 00:00:00.000000000,2020-04-26 00:00:00.000000000,NAH4,4110.17,
42,U001,0200762301,C&S WH co,2020-05-14 20:54:54.250000000,2020.0,1930652672.0,2020-03-15 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAGD,1535.38,
43,U001,0200794332,COST foundation,2020-05-12 00:13:00.234375000,2020.0,1930833641.0,2020-04-30 00:00:00.000000000,2020-05-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,NAAX,8793.09,
44,U001,0200230690,DECA co,2020-05-02 13:41:13.937500000,2020.0,1930806330.0,2020-04-21 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-16 00:00:00.000000000,NAM4,4520.01,
45,U001,0200769623,WAL-MAR systems,2020-05-15 08:30:04.312500000,2020.0,1930845081.0,2020-05-01 00:00:00.000000000,2020-05-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAH4,12017.94,
46,U001,0200772670,ASSOCIAT llc,2020-04-20 12:54:23.593750000,2020.0,1930766598.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAU5,42449.8,
47,U001,0200769623,WAL-MAR corp,2020-04-14 09:31:08.398437500,2020.0,1930703871.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,49318.34,
48,U001,0200772670,ASSOCIAT co,2020-04-27 12:54:23.593750000,2020.0,1930789498.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAU5,1927.5,
49,U001,0200794332,COST corp,2020-04-11 00:13:00.234375000,2020.0,1930716514.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAAX,51407.61,
50,U001,0200700919,US  co,2020-04-27 20:40:01.405273438,2020.0,1930782514.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAA8,11809.16,
51,U001,0200820380,SMITH'S trust,2020-04-28 02:30:47.015625000,2020.0,1930784370.0,2020-04-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,2020-04-15 00:00:00.000000000,NAA8,58495.5,
52,U001,0200758883,PERFOR us,2020-04-16 06:13:14.906250000,2020.0,1930735268.0,2020-04-03 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-03 00:00:00.000000000,NAA8,43468.52,
53,U001,0200769623,WAL-MAR corp,2020-03-29 09:31:08.398437500,2020.0,1930653205.0,2020-03-15 00:00:00.000000000,2020-03-30 00:00:00.000000000,2020-03-15 00:00:00.000000000,NAH4,24291.4,
54,U001,0200943275,US  llc,2020-04-29 10:10:57.609375000,2020.0,1930765200.0,2020-04-14 00:00:00.000000000,2020-04-29 00:00:00.000000000,2020-04-14 00:00:00.000000000,NAA8,9405.14,0-15
55,U001,0200920735,ALBERT trust,2020-04-04 06:39:41.027343750,2020.0,1930673493.0,2020-03-20 00:00:00.000000000,2020-04-04 00:00:00.000000000,2020-03-20 00:00:00.000000000,NAA8,133759.23,0-15
56,U001,0200020431,DEC systems,2020-04-17 11:41:47.687500000,2020.0,1930764975.0,2020-04-09 00:00:00.000000000,2020-04-24 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAM4,433.5,
57,U001,0200711029,WEGMAN in,2020-03-19 10:32:42.328125000,2020.0,1930589657.0,2020-03-03 00:00:00.000000000,2020-03-18 00:00:00.000000000,2020-03-03 00:00:00.000000000,NAA8,11276.73,0-15
58,U001,0200762301,C&S WH us,2020-03-14 00:13:00.234375000,2020.0,1930583183.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAC6,19446.43,
59,CA02,0140104440,SO foundation,2020-04-19 00:22:25.765625000,2020.0,2960626947.0,2020-04-06 00:00:00.000000000,2020-04-18 00:00:00.000000000,2020-04-08 00:00:00.000000000,CA10,37710.21799999999,0-15
60,U013,0140103699,L&E IN trust,2020-05-12 00:51:49.312500000,2020.0,1991840366.0,2020-04-09 00:00:00.000000000,2020-05-09 00:00:00.000000000,2020-04-09 00:00:00.000000000,NAVE,37181.42,0-15
61,U001,0200723794,MID MO corp,2020-04-08 06:13:14.906250000,2020.0,1930705122.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,114182.24,
62,U001,0200762301,C&S WH ,2020-04-17 00:13:00.234375000,2020.0,1930750261.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAC6,4107.01,
63,U001,0200772670,ASSOCIAT corp,2020-03-14 12:54:23.593750000,2020.0,1930587600.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAU5,75765.79,
64,U001,0200769623,WAL-MAR corporation,2020-03-28 09:31:08.398437500,2020.0,1930653431.0,2020-03-14 00:00:00.000000000,2020-03-29 00:00:00.000000000,2020-03-14 00:00:00.000000000,NAH4,1329.23,
65,U001,0200253680,SCHWANS corporation,2020-05-10 21:17:14.828125000,2020.0,1930838625.0,2020-04-28 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,NAA8,6810.0,
66,U001,0200792293,UNIFIE co,2020-04-14 04:41:52.726562500,2020.0,1930719962.0,2020-03-30 00:00:00.000000000,2020-04-14 00:00:00.000000000,2020-03-30 00:00:00.000000000,NAA8,24429.37,0-15
67,U001,0200743996,STATER  associates,2020-05-14 08:47:31.765625000,2020.0,1930845288.0,2020-05-01 00:00:00.000000000,2020-05-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAA8,16453.71,
68,U001,200705372,FR llc,2020-04-11 22:20:40.625000000,2020.0,1930718137.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAA8,120371.53,
69,U001,0200769623,WAL-MAR ,2020-04-07 09:31:08.398437500,2020.0,1930685531.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,83685.69,
70,U001,0200769623,WAL-MAR llc,2020-05-18 09:31:08.398437500,2020.0,1930853098.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAH4,12353.5,
71,U001,0200762301,C&S WH systems,2020-04-17 00:13:00.234375000,2020.0,1930745420.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAC6,14608.48,
72,U001,0200148860,DOLLA corporation,2020-05-20 05:11:42.437500000,2020.0,1930686505.0,2020-03-23 00:00:00.000000000,2020-05-27 00:00:00.000000000,2020-03-23 00:00:00.000000000,NAGD,81087.39,
73,U001,0100043892,IN-N ,2020-03-12 10:58:17.875000000,2020.0,1930587215.0,2020-03-02 00:00:00.000000000,2020-03-17 00:00:00.000000000,2020-03-02 00:00:00.000000000,NAA8,17593.75,
74,U001,0200729942,SA in,2020-04-15 06:13:14.906250000,2020.0,1930731399.0,2020-04-02 00:00:00.000000000,2020-04-17 00:00:00.000000000,2020-04-02 00:00:00.000000000,NAA8,16360.32,
75,CA02,0140105785,SHOPPE associates,2020-05-02 19:48:42.648437500,2020.0,2960629527.0,2020-04-21 00:00:00.000000000,2020-05-02 00:00:00.000000000,2020-04-22 00:00:00.000000000,CA10,93630.87999999999,0-15
76,U001,0200769623,WAL-MAR foundation,2020-03-24 09:31:08.398437500,2020.0,1930623841.0,2020-03-10 00:00:00.000000000,2020-03-25 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAH4,23963.46,
77,U001,0200728270,HEI foundation,2020-04-16 18:28:25.445312500,2020.0,1930727244.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAA8,45445.46,0-15
78,U001,0200705742,DOT ,2020-04-14 02:57:43.843750000,2020.0,1930670579.0,2020-03-19 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-03-19 00:00:00.000000000,NA32,22439.19,
79,U001,0200744019,TARG foundation,2020-05-08 23:38:11.515625000,2020.0,1930620217.0,2020-03-08 00:00:00.000000000,2020-05-12 00:00:00.000000000,2020-03-08 00:00:00.000000000,NAGD,7730.83,
80,U001,0200769623,WAL-MAR trust,2020-04-07 09:31:08.398437500,2020.0,1930687629.0,2020-03-24 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-24 00:00:00.000000000,NAH4,29613.28,
81,U001,0200148860,DOLLA systems,2020-05-07 05:11:42.437500000,2020.0,1930621744.0,2020-03-10 00:00:00.000000000,2020-05-14 00:00:00.000000000,2020-03-10 00:00:00.000000000,NAGD,40829.37,
82,U001,0200762301,C&S WH co,2020-04-20 00:13:00.234375000,2020.0,1930759302.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAC6,10916.97,
83,U001,0200769623,WAL-MAR corp,2020-04-19 09:31:08.398437500,2020.0,1930750025.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAH4,15508.92,
84,U001,0200726979,BJ'S  corp,2020-05-19 21:01:56.562500000,2020.0,1930860070.0,2020-05-07 00:00:00.000000000,2020-05-22 00:00:00.000000000,2020-05-07 00:00:00.000000000,NAA8,9222.81,
85,U001,0200794332,COST ,2020-03-29 00:13:00.234375000,2020.0,1930654470.0,2020-03-17 00:00:00.000000000,2020-04-01 00:00:00.000000000,2020-03-17 00:00:00.000000000,NAAX,1378.28,
86,U001,0200769623,WAL-MAR in,2020-04-14 09:31:08.398437500,2020.0,1930725362.0,2020-03-31 00:00:00.000000000,2020-04-15 00:00:00.000000000,2020-03-31 00:00:00.000000000,NAH4,14866.96,
87,U001,0200769623,WAL-MAR us,2020-04-15 08:30:04.312500000,2020.0,1930720511.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAH4,36711.41,
88,CA02,140106408,WAL-M associates,2020-05-18 20:04:44.750000000,2020.0,2960629978.0,2020-04-23 00:00:00.000000000,2020-05-04 00:00:00.000000000,2020-04-24 00:00:00.000000000,CA10,3225.614,0-15
89,CA02,0140106408,WAL-M llc,2020-04-16 20:04:44.750000000,2020.0,2960622791.0,2020-03-23 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-23 00:00:00.000000000,CA10,4482.562,0-15
90,U001,0200230690,DECA co,2020-04-01 13:41:13.937500000,2020.0,1930669392.0,2020-03-20 00:00:00.000000000,2020-04-08 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM4,24.72,
91,U001,0200754118,ARMY trust,2020-04-14 17:23:14.445312500,2020.0,1930861274.0,2020-05-06 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAM3,31.44,
92,U001,0200418007,AM llc,2020-04-22 14:45:21.628906250,2020.0,1930741778.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,15443.56,
93,U001,0200020431,DEC co,2020-03-19 13:41:13.937500000,2020.0,1930682917.0,2020-03-21 00:00:00.000000000,2020-03-26 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAM2,26542.46,
94,U001,0200416837,DEC corporation,2020-05-17 11:41:47.687500000,2020.0,1930870632.0,2020-05-07 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,2305.94,
95,U001,0200769623,WAL-MAR ,2020-04-10 09:31:08.398437500,2020.0,1930696246.0,2020-03-27 00:00:00.000000000,2020-04-11 00:00:00.000000000,2020-03-27 00:00:00.000000000,NAH4,37008.86,
96,U001,0200418007,AM ,2020-05-06 15:44:10.296875000,2020.0,1930577434.0,2020-03-04 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAGD,65318.4,
97,U001,0200799367,MCL co,2020-05-09 15:22:00.531250000,2020.0,1930624016.0,2020-03-09 00:00:00.000000000,2020-05-13 00:00:00.000000000,2020-03-09 00:00:00.000000000,NAGD,940.4,
98,U001,0200769623,WAL-MAR co,2020-04-26 09:31:08.398437500,2020.0,1930777050.0,2020-04-12 00:00:00.000000000,2020-04-27 00:00:00.000000000,2020-04-12 00:00:00.000000000,NAH4,1329.19,
99,U001,0200714710,SYSCO  in,2020-03-19 10:46:58.046875000,2020.0,1930597551.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAA8,24343.38,
100,U001,0200793513,KROGER llc,2020-04-07 19:15:16.671875000,2020.0,1930705546.0,2020-03-26 00:00:00.000000000,2020-04-10 00:00:00.000000000,2020-03-26 00:00:00.000000000,NAA8,17283.5,
101,U001,0200148860,DOLLA foundation,2020-04-14 16:20:28.843750000,2020.0,1930746598.0,2020-04-05 00:00:00.000000000,2020-04-20 00:00:00.000000000,2020-04-05 00:00:00.000000000,NAA8,62167.0,
102,U001,0200769623,WAL-MAR corporation,2020-04-04 09:31:08.398437500,2020.0,1930676005.0,2020-03-21 00:00:00.000000000,2020-04-05 00:00:00.000000000,2020-03-21 00:00:00.000000000,NAH4,11091.75,
103,U001,0200771157,WEIS llc,2020-04-26 06:50:14.421875000,2020.0,1930768819.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAA8,43289.78,0-15
104,U001,0200769623,WAL-MAR corp,2020-04-27 09:31:08.398437500,2020.0,1930781048.0,2020-04-13 00:00:00.000000000,2020-04-28 00:00:00.000000000,2020-04-13 00:00:00.000000000,NAH4,8531.74,
105,U001,0200726979,BJ'S  us,2020-03-10 21:01:56.562500000,2020.0,1930575234.0,2020-02-27 00:00:00.000000000,2020-03-13 00:00:00.000000000,2020-02-27 00:00:00.000000000,NAA8,908.25,
106,U001,0200749782,KROG us,2020-03-16 22:57:44.562500000,2020.0,1930598502.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAA8,49348.77,
107,U001,0200772670,ASSOCIAT us,2020-03-16 12:54:23.593750000,2020.0,1930604942.0,2020-03-04 00:00:00.000000000,2020-03-19 00:00:00.000000000,2020-03-04 00:00:00.000000000,NAU5,630.27,
108,CA02,0140104423,METRO  corporation,2020-04-16 19:48:42.648437500,2020.0,2960626744.0,2020-04-04 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-06 00:00:00.000000000,CA10,107038.386,0-15
109,U001,0200794332,COST trust,2020-04-12 22:13:33.937500000,2020.0,1930725748.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAAX,42177.83,
110,U001,0200760666,KEHE  trust,2020-04-22 22:57:44.562500000,2020.0,1930760408.0,2020-04-10 00:00:00.000000000,2020-04-25 00:00:00.000000000,2020-04-10 00:00:00.000000000,NAA8,7518.42,
111,U001,0200769623,WAL-MAR co,2020-03-19 09:31:08.398437500,2020.0,1930604103.0,2020-03-05 00:00:00.000000000,2020-03-20 00:00:00.000000000,2020-03-05 00:00:00.000000000,NAH4,7705.31,
112,U001,0200726979,BJ'S  corp,2020-05-12 21:01:56.562500000,2020.0,1930842252.0,2020-04-30 00:00:00.000000000,2020-05-15 00:00:00.000000000,2020-04-30 00:00:00.000000000,NAA8,681.19,
113,U001,0200769623,WAL-MAR trust,2020-03-13 09:31:08.398437500,2020.0,1930576629.0,2020-02-28 00:00:00.000000000,2020-03-14 00:00:00.000000000,2020-02-28 00:00:00.000000000,NAH4,7720.54,
114,CA02,0140104440,SO llc,2020-04-05 00:22:25.765625000,2020.0,2960624240.0,2020-03-25 00:00:00.000000000,2020-04-04 00:00:00.000000000,2020-03-25 00:00:00.000000000,CA10,62375.11,0-15
115,U001,0200418007,AM co,2020-05-07 14:45:21.628906250,2020.0,1930803016.0,2020-04-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,NAA8,2715.12,
116,U001,0200769623,WAL-MAR ,2020-05-18 09:31:08.398437500,2020.0,1930856554.0,2020-05-04 00:00:00.000000000,2020-05-19 00:00:00.000000000,2020-05-04 00:00:00.000000000,NAH4,29047.3,
117,U001,0200704858,WAKE foundation,2020-04-16 16:52:49.812500000,2020.0,1930726228.0,2020-04-01 00:00:00.000000000,2020-04-16 00:00:00.000000000,2020-04-01 00:00:00.000000000,NAA8,8040.01,0-15
118,U001,0200762301,C&S WH foundation,2020-05-12 22:13:33.937500000,2020.0,1930848451.0,2020-05-01 00:00:00.000000000,2020-05-16 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAC6,52987.36,
119,U001,0200769623,WAL-MAR trust,2020-03-30 09:31:08.398437500,2020.0,1930654960.0,2020-03-16 00:00:00.000000000,2020-03-31 00:00:00.000000000,2020-03-16 00:00:00.000000000,NAH4,57176.5,
120,U001,0200353024,DECA corp,2020-05-17 11:41:47.687500000,2020.0,1930876516.0,2020-05-07 00:00:00.000000000,2020-05-24 00:00:00.000000000,2020-05-01 00:00:00.000000000,NAM4,3218.64,
121,U001,0200769623,WAL-MAR foundation,2020-03-20 09:31:08.398437500,2020.0,1930594035.0,2020-03-06 00:00:00.000000000,2020-03-21 00:00:00.000000000,2020-03-06 00:00:00.000000000,NAH4,524.66,
122,CA02,0140104409,LOB trust,2020-04-02 05:14:03.750000000,2020.0,2960622570.0,2020-03-23 00:00:00.000000000,2020-04-02 00:00:00.000000000,2020-03-23 00:00:00.000000000,CA10,106327.05999999998,0-15
123,U001,0200769623,WAL-MAR in,2020-04-08 09:31:08.398437500,2020.0,1930693718.0,2020-03-25 00:00:00.000000000,2020-04-09 00:00:00.000000000,2020-03-25 00:00:00.000000000,NAH4,24703.42,
124,U001,0200707005,KING S foundation,2020-04-20 22:57:44.562500000,2020.0,1930758541.0,2020-04-08 00:00:00.000000000,2020-04-23 00:00:00.000000000,2020-04-08 00:00:00.000000000,NAA8,11977.79,
125,U001,0200769623,WAL-MAR co,2020-05-22 09:31:08.398437500,2020.0,1930875913.0,2020-05-08 00:00:00.000000000,2020-05-23 00:00:00.000000000,2020-05-08 00:00:00.000000000,NAH4,867.75,
